id,num_orders
1017495,163
1395634,171
1007493,123
1042952,63
1022147,28
1191480,199
1082166,235
1340029,173
1423809,120
1153607,111
1294127,132
1170433,198
1337067,914
1257946,315
1367872,18
1097858,15
1296621,15
1475856,21
1418651,276
1171489,296
1310496,92
1072141,14
1000175,66
1030833,121
1035019,124
1400067,133
1323793,199
1117043,273
1427878,13
1402285,13
1203595,20
1046236,20
1040200,28
1130926,32
1435879,202
1186747,108
1222546,239
1173704,1347
1150262,764
1162367,257
1381944,174
1173322,695
1436507,649
1199417,969
1398388,168
1314901,99
1030703,172
1213106,1000
1279059,1081
1234679,1002
1220169,152
1348054,119
1298386,122
1356911,200
1024898,181
1067308,47
1283450,68
1476093,111
1097384,496
1474600,535
1238146,281
1132059,44
1099490,47
1021323,72
1360546,137
1229505,183
1233076,211
1064472,166
1428591,110
1492725,322
1128598,434
1086258,627
1009310,61
1100569,36
1187935,154
1179334,324
1372563,232
1478645,192
1316847,119
1096939,512
1302412,352
1368222,280
1169543,1525
1096145,905
1429586,456
1359502,42
1391246,148
1176513,139
1145233,603
1125866,681
1049048,971
1233517,120
1352286,149
1321645,207
1403512,1358
1106740,1167
1451572,912
1049597,83
1304225,71
1315258,84
1360945,156
1138634,43
1011967,45
1446743,54
1428644,524
1292567,727
1048330,322
1317488,23
1169315,23
1315420,26
1028044,477
1003216,381
1440639,523
1335205,153
1162960,87
1422766,69
1243341,304
1280799,361
1030293,571
1166795,39
1424421,156
1047215,242
1235409,148
1440476,46
1248879,75
1123829,40
1445118,486
1305190,497
1274749,434
1070172,521
1063190,588
1084273,139
1050493,35
1315432,206
1124159,49
1257521,232
1109211,501
1156484,413
1009748,117
1470010,116
1307005,144
1249277,754
1214479,933
1423404,390
1334477,56
1104322,51
1156147,45
1428249,62
1160044,134
1422308,149
1474798,46
1467449,52
1285337,344
1021683,428
1370910,279
1226363,31
1435563,49
1372536,24
1272927,206
1274116,235
1081512,357
1127591,46
1446529,39
1091587,35
1307309,75
1228868,52
1465479,157
1152904,38
1260950,62
1141025,44
1497804,288
1054956,255
1294783,231
1345905,260
1072182,297
1078340,82
1277117,44
1245775,77
1164717,56
1104544,175
1347942,282
1267776,374
1052513,101
1377306,135
1300236,154
1327995,836
1309899,614
1306531,416
1291902,60
1429826,51
1477142,77
1432807,47
1119705,85
1141165,63
1324337,26
1453957,43
1111031,59
1437172,307
1143707,596
1284989,368
1268085,25
1285847,26
1237233,265
1151682,323
1179211,312
1085300,28
1148044,25
1481322,23
1393413,41
1422438,47
1019429,80
1370378,44
1005818,98
1471334,41
1264682,403
1042908,490
1319029,201
1482313,2496
1100960,1910
1331087,555
1255935,86
1269663,372
1485095,224
1207666,769
1336670,1026
1076458,1674
1294448,137
1451929,113
1090710,243
1466213,1880
1252897,2170
1054411,2727
1334202,382
1420624,285
1299748,103
1050577,268
1003146,325
1186366,168
1299187,68
1257847,123
1090513,131
1204770,970
1347257,991
1307458,375
1480370,57
1387262,59
1208500,58
1105623,582
1182010,594
1139003,630
1235992,198
1377369,159
1428129,130
1459531,237
1345240,514
1110873,944
1129302,93
1499766,94
1314330,107
1383602,392
1407783,566
1068577,415
1442645,118
1332240,202
1287771,125
1390735,621
1103351,562
1085790,523
1457854,964
1490769,652
1174122,240
1109760,24
1481973,104
1099975,120
1266166,298
1429005,406
1092857,522
1328993,122
1337801,162
1415339,194
1472609,754
1178654,679
1023969,684
1457937,49
1149843,135
1238318,88
1083141,22
1130238,43
1203380,37
1459327,431
1468412,380
1109692,192
1225840,23
1129491,25
1128434,150
1497027,394
1452201,365
1072355,38
1278232,44
1110496,222
1455641,284
1125829,400
1085323,26
1067240,85
1417061,121
1107861,84
1011538,36
1118657,63
1057521,42
1071582,216
1258241,230
1379300,201
1343336,1651
1063591,962
1288235,518
1371194,84
1472501,357
1057215,163
1187533,746
1138270,926
1444111,1109
1328442,125
1289478,128
1189027,200
1329200,1254
